"GENDER","SCHOOL","MAXLOGIN","ISTEACHER","DAYREAD","ARTNUM","ISPAY","IS15VIP","ISPASS","EXERATE","READRATE","EXTENDRATE","TRANSRATE"
"女","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",6,"是",1,1,"否","是","否",1,1,1,1
"女","本科",2,"是",1,1,"否","是","否",1,0,0,0
"女","本科",8,"是",1,1,"否","是","否",1,0,1,1
"女","本科",1,"是",1,1,"否","是","否",1,0,1,0
"男","本科",2,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,0,0,0
"女","本科",7,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"男","本科",9,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"男","本科",3,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",5,"是",1,1,"否","是","否",1,0,1,1
"男","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,0,0,1
"未知","本科",2,"是",1,1,"否","是","否",1,0,0,1
"男","本科",6,"是",1,1,"否","是","否",1,0,0,0
"女","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",6,"是",1,1,"否","是","否",1,1,1,1
"男","本科",10,"是",1,1,"否","是","否",1,1,1,1
"女","本科",6,"是",1,1,"否","是","否",1,1,1,1
"男","本科",7,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",6,"是",1,1,"否","是","否",1,0,1,0
"男","本科",1,"是",1,1,"否","是","否",1,0,0,0
"男","本科",6,"是",1,1,"否","是","否",1,0,1,1
"女","本科",7,"是",1,1,"否","是","否",1,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,1,1,1
"女","本科",4,"是",1,1,"否","是","否",1,1,1,1
"女","211",3,"是",1,1,"否","是","否",1,0,0,0
"男","本科",7,"是",1,1,"否","是","否",1,1,1,1
"女","本科",8,"是",1,1,"否","是","否",1,0,0,0
"男","本科",1,"是",1,1,"否","是","是",1,0,0,0
"女","未知",1,"否",1,1,"否","是","否",1,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,1,1,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"女","本科",8,"是",1,1,"否","是","否",1,1,1,1
"女","211",3,"是",1,1,"否","是","否",1,0,1,1
"男","未知",2,"否",1,1,"否","否","否",0,0,0,0
"男","本科",1,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",7,"是",1,1,"否","是","否",1,1,1,1
"未知","未知",8,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",8,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",7,"否",1,1,"否","是","否",1,1,1,1
"男","本科",7,"是",1,1,"否","否","否",0,0,0,0
"男","本科",2,"是",1,1,"否","否","否",0,0,0,0
"女","本科",9,"是",1,1,"否","是","是",0,0,0,0
"男","本科",5,"是",1,1,"否","是","是",1,1,1,1
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"女","本科",5,"是",1,1,"否","是","是",1,1,1,1
"未知","本科",2,"是",1,1,"否","是","否",1,1,0,0
"女","本科",6,"是",1,1,"否","是","是",1,1,1,1
"男","本科",6,"是",1,1,"否","否","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"女","本科",10,"是",1,1,"否","是","否",1,1,1,1
"男","本科",4,"是",1,1,"否","否","否",0,0,0,0
"男","本科",1,"是",1,1,"否","是","否",0,1,0,0
"男","本科",1,"是",1,1,"否","否","否",0,0,0,0
"男","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",9,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",5,"是",1,1,"否","是","否",1,1,0,1
"未知","本科",10,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"男","本科",4,"是",1,1,"否","是","否",1,0,0,0
"男","本科",4,"是",1,1,"否","否","否",0,0,0,0
"男","本科",1,"是",1,1,"否","是","否",1,1,0,1
"男","本科",5,"是",1,1,"否","是","否",1,0,1,0
"男","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",1,0,0,0
"男","本科",1,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",1,"是",1,1,"否","是","否",0,1,0,0
"男","本科",7,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",7,"是",1,1,"否","是","否",1,0,1,1
"男","本科",7,"是",1,1,"否","是","否",1,0,1,1
"男","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",5,"是",1,1,"否","否","否",0,0,0,0
"男","本科",7,"是",1,1,"否","是","否",1,0,1,1
"男","本科",5,"是",1,1,"否","否","否",0,0,0,0
"男","本科",4,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"女","未知",2,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",6,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",8,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",8,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",8,"否",1,1,"否","是","否",0,1,0,0
"未知","未知",8,"否",1,1,"否","是","否",0,1,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"男","本科",6,"是",1,1,"否","是","否",1,1,1,1
"男","本科",6,"是",1,1,"否","否","否",0,0,0,0
"男","本科",5,"是",1,1,"否","是","否",1,0,0,0
"男","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",8,"是",1,1,"否","是","否",1,1,1,1
"男","本科",1,"是",1,1,"否","是","否",1,0,1,1
"男","本科",5,"是",1,1,"否","否","否",0,0,0,0
"男","本科",6,"是",1,1,"否","是","否",1,0,1,1
"女","本科",8,"是",1,1,"否","是","否",0,0,0,0
"男","本科",5,"是",1,1,"否","否","否",0,0,0,0
"男","本科",6,"是",1,1,"否","是","否",1,1,1,1
"男","本科",3,"是",1,1,"否","是","否",1,0,1,1
"女","本科",7,"是",1,1,"否","是","否",1,1,1,0
"男","本科",8,"是",1,1,"否","是","否",1,1,1,1
"男","本科",8,"是",1,1,"否","是","否",1,1,0,1
"男","本科",5,"是",1,1,"否","是","否",1,1,1,1
"男","本科",9,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,0,0,0
"男","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",4,"是",1,1,"否","是","否",1,0,0,0
"男","本科",8,"是",1,1,"否","是","否",1,1,1,1
"男","本科",4,"是",1,1,"否","是","否",1,1,1,1
"男","本科",1,"是",1,1,"否","否","否",0,0,0,0
"男","本科",7,"是",1,1,"否","是","否",1,1,1,1
"男","本科",8,"是",1,1,"否","是","否",1,1,1,1
"男","本科",5,"是",1,1,"否","是","否",1,1,1,1
"男","本科",8,"是",1,1,"否","是","否",1,1,1,1
"男","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",4,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",2,"否",1,1,"否","是","否",1,0,0,0
"女","未知",9,"否",1,1,"否","是","否",1,1,1,1
"男","本科",10,"是",1,1,"否","是","否",1,1,0,1
"女","未知",10,"否",1,1,"否","是","否",1,0,0,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,1,1
"男","本科",2,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","是",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"未知","专科",5,"是",1,1,"否","是","否",1,1,1,1
"女","本科",4,"是",1,1,"否","是","否",0,0,0,0
"男","985",7,"是",1,1,"否","否","是",0,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",2,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",8,"是",1,1,"否","是","否",0,0,0,0
"女","未知",1,"否",1,1,"否","是","否",0,0,0,0
"未知","985",8,"是",1,1,"否","否","是",1,0,0,0
"女","未知",1,"否",1,1,"否","是","否",0,0,0,0
"女","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",2,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",2,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",9,"否",1,1,"否","否","否",0,0,0,0
"男","未知",6,"否",1,1,"否","是","否",1,0,0,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,1,1
"女","未知",7,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",5,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",1,"否",1,1,"否","是","否",0,1,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"男","本科",3,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",1,0,0,0
"男","本科",4,"是",1,1,"否","否","否",0,0,0,0
"女","未知",6,"否",1,1,"否","是","否",1,0,1,1
"男","本科",2,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",2,"是",1,1,"否","否","否",0,0,0,0
"未知","未知",4,"否",1,1,"否","是","否",1,0,0,0
"男","本科",10,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",5,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",9,"否",1,1,"否","是","否",1,1,1,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"女","本科",9,"是",1,1,"否","是","是",1,0,0,0
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",9,"是",1,1,"否","是","否",1,0,0,0
"男","本科",6,"是",1,1,"否","否","否",0,0,0,0
"男","本科",4,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",2,"是",1,1,"否","是","是",0,0,0,0
"女","本科",7,"是",1,1,"否","是","否",0,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","是",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",9,"是",1,1,"否","是","否",0,1,0,1
"未知","本科",4,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"女","本科",1,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",2,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,1,1,0
"未知","本科",4,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",8,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,1,1,0
"未知","本科",3,"是",1,1,"否","是","否",1,1,1,0
"未知","本科",3,"是",1,1,"否","是","否",1,1,0,1
"女","本科",2,"是",1,1,"否","是","否",0,1,0,0
"女","本科",1,"是",1,1,"否","是","是",1,1,0,0
"男","本科",7,"是",1,1,"否","是","是",0,0,0,0
"男","本科",8,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,1,1,0
"女","本科",4,"是",1,1,"否","是","否",1,1,1,1
"男","本科",1,"是",1,1,"否","是","否",0,0,0,0
"男","本科",3,"是",1,1,"否","是","否",1,1,1,0
"未知","本科",6,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",7,"是",1,1,"否","是","是",1,0,1,0
"未知","本科",9,"是",1,1,"否","是","否",1,1,1,1
"女","本科",9,"是",1,1,"否","是","否",1,1,1,1
"男","本科",1,"是",1,1,"否","是","否",0,0,0,0
"女","本科",2,"是",1,1,"否","是","是",1,1,0,0
"未知","未知",4,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",7,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",4,"是",1,1,"否","否","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,1
"未知","本科",5,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",4,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",4,"是",1,1,"否","否","是",1,0,0,0
"未知","本科",5,"是",1,1,"否","是","是",0,0,0,0
"未知","本科",4,"是",1,1,"否","是","是",1,0,1,0
"未知","本科",2,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"女","未知",5,"否",1,1,"否","是","否",1,0,1,1
"女","本科",2,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",3,"是",1,1,"否","否","是",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,1,1,1
"女","本科",3,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",8,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,1
"男","本科",2,"是",1,1,"否","是","否",0,0,0,0
"女","本科",7,"是",1,1,"否","是","否",0,1,0,0
"未知","本科",6,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,1,0,0
"未知","未知",9,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",5,"否",1,1,"否","否","否",0,0,0,0
"女","未知",3,"否",1,1,"否","是","否",1,1,1,1
"女","211",2,"是",1,1,"否","是","否",1,1,1,1
"女","211",1,"是",1,1,"否","是","否",1,1,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"女","未知",6,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",0,0,0,0
"未知","未知",8,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"女","本科",5,"是",1,1,"否","是","否",1,0,1,0
"女","未知",1,"否",1,1,"否","是","否",0,1,0,0
"未知","未知",8,"否",1,1,"否","是","否",0,1,1,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"男","本科",1,"是",1,1,"否","是","否",1,1,1,1
"女","未知",4,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"女","本科",2,"是",1,1,"否","是","否",1,1,1,1
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"男","本科",3,"是",1,1,"否","是","是",0,0,0,0
"男","未知",1,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",4,"否",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"女","211",1,"是",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","是",1,1,1,1
"未知","未知",3,"否",1,1,"否","是","否",0,0,0,0
"女","本科",1,"是",1,1,"否","是","否",1,1,0,0
"男","本科",8,"是",1,1,"否","是","否",0,1,0,0
"未知","本科",3,"是",1,1,"否","是","否",0,1,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,0
"女","未知",1,"否",1,1,"否","是","否",0,0,0,0
"男","本科",2,"是",1,1,"否","是","是",1,1,1,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",8,"否",1,1,"否","否","否",0,0,0,0
"女","本科",5,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",8,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",2,"否",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,0,1,1
"男","未知",5,"否",1,1,"否","是","否",1,1,1,1
"女","未知",6,"否",1,1,"否","是","否",1,1,0,1
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,1,0,0
"男","本科",7,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,0,1,1
"女","未知",5,"否",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"女","本科",5,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","是",1,1,1,1
"未知","未知",7,"否",1,1,"否","是","否",1,1,1,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",2,"否",1,1,"否","是","否",1,0,1,1
"女","本科",4,"是",1,1,"否","是","是",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,1
"男","211",1,"是",1,1,"否","是","否",1,0,0,1
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"女","未知",1,"否",1,1,"否","是","否",1,0,1,1
"女","本科",7,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",7,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",5,"是",1,1,"否","是","否",1,1,1,1
"男","985",1,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",7,"是",1,1,"否","是","否",1,0,0,0
"男","本科",2,"是",1,1,"否","是","否",1,0,0,0
"女","本科",3,"是",1,1,"否","是","否",1,1,0,1
"未知","本科",5,"是",1,1,"否","否","是",1,1,0,0
"女","未知",4,"否",1,1,"否","是","否",0,0,0,0
"女","211",2,"是",1,1,"否","否","否",0,0,0,0
"女","本科",7,"是",1,1,"否","是","否",1,1,1,1
"女","本科",6,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"女","本科",6,"是",1,1,"否","是","否",1,0,1,0
"女","本科",6,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",7,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",7,"是",1,1,"否","是","否",1,0,1,1
"女","本科",6,"是",1,1,"否","是","否",1,0,0,0
"女","本科",1,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,0,1,0
"未知","本科",7,"是",1,1,"否","是","否",1,0,0,1
"男","本科",6,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",7,"是",1,1,"否","否","否",0,0,0,0
"女","本科",7,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"女","211",7,"是",1,1,"否","是","否",1,0,0,0
"女","211",6,"是",1,1,"否","是","否",1,0,1,1
"未知","211",2,"是",1,1,"否","是","否",1,0,1,1
"女","211",7,"是",1,1,"否","否","是",1,1,1,1
"未知","211",5,"是",1,1,"否","是","否",0,0,0,0
"未知","211",7,"是",1,1,"否","是","否",1,1,1,1
"未知","211",7,"是",1,1,"否","否","是",1,0,0,0
"男","211",1,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","否","否",0,0,0,0
"未知","211",7,"是",1,1,"否","否","是",1,0,0,1
"女","本科",1,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,1
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","211",6,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","否","否",0,0,0,0
"女","本科",1,"是",1,1,"否","是","否",1,1,1,1
"女","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"女","本科",1,"是",1,1,"否","是","否",1,0,0,0
"女","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",5,"是",1,1,"否","是","否",1,0,1,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,1
"未知","本科",1,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"女","本科",1,"是",1,1,"否","是","否",0,0,0,0
"女","本科",1,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","否","否",0,0,0,0
"女","未知",2,"否",1,1,"否","是","否",0,0,1,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"未知","未知",2,"否",1,1,"否","是","否",1,0,1,1
"未知","211",2,"是",1,1,"否","是","否",1,0,0,0
"未知","211",7,"是",1,1,"否","是","否",1,0,0,1
"未知","本科",6,"是",1,1,"否","是","否",1,0,0,0
"未知","211",4,"是",1,1,"否","是","否",1,1,1,1
"女","211",4,"是",1,1,"否","是","否",0,0,0,0
"未知","211",6,"是",1,1,"否","是","否",1,0,1,1
"未知","211",4,"是",1,1,"否","是","否",1,0,0,0
"未知","211",4,"是",1,1,"否","否","否",0,0,0,0
"未知","211",4,"是",1,1,"否","是","否",1,0,0,0
"女","211",5,"是",1,1,"否","是","否",1,0,1,1
"未知","211",7,"是",1,1,"否","是","否",1,0,1,0
"女","211",6,"是",1,1,"否","是","否",1,0,1,0
"未知","211",5,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"男","211",2,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"女","211",3,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",1,"是",1,1,"否","是","否",0,1,1,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",3,"是",1,1,"否","否","否",0,0,0,0
"女","未知",3,"否",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,0,1,0
"男","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",6,"是",1,1,"否","是","否",1,1,0,0
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",1,1,1,1
"未知","211",4,"是",1,1,"否","是","否",1,1,1,1
"女","211",3,"是",1,1,"否","否","否",0,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",1,0,1,0
"女","本科",1,"是",1,1,"否","是","否",1,0,0,0
"女","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",4,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",6,"是",1,1,"否","是","否",1,1,1,0
"男","本科",1,"是",1,1,"否","是","否",1,0,1,0
"未知","本科",3,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",0,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,0,1,1
"未知","未知",6,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","211",6,"是",1,1,"否","是","否",1,0,1,1
"未知","本科",4,"是",1,1,"否","是","否",1,1,1,1
"未知","本科",1,"是",1,1,"否","是","是",1,1,1,1
"未知","本科",4,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",3,"是",1,1,"否","是","否",0,0,0,0
"男","未知",1,"否",1,1,"否","是","否",1,0,1,1
"未知","本科",3,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",4,"是",1,1,"否","否","否",0,0,0,0
"未知","未知",6,"否",1,1,"否","否","否",0,0,0,0
"男","本科",2,"是",1,1,"否","是","否",1,1,1,1
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"女","本科",1,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",5,"是",1,1,"否","是","否",1,1,1,1
"女","本科",4,"是",1,1,"否","是","否",0,0,1,0
"未知","本科",7,"是",1,1,"否","是","否",0,0,0,0
"男","本科",4,"是",1,1,"否","是","否",0,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,1,1,0
"女","本科",5,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","是","否",0,0,0,0
"男","本科",2,"是",1,1,"否","是","否",1,0,0,0
"女","本科",7,"是",1,1,"否","是","否",1,1,1,0
"未知","本科",1,"是",1,1,"否","是","否",1,1,0,0
"男","本科",6,"是",1,1,"否","是","否",1,1,0,0
"未知","专科",1,"是",1,1,"否","是","否",1,0,0,0
"女","本科",3,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,0,0,0
"女","本科",4,"是",1,1,"否","是","否",1,0,0,1
"男","211",2,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",1,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",5,"是",1,1,"否","是","是",1,1,0,0
"未知","未知",3,"否",1,1,"否","否","否",0,0,0,0
"男","本科",4,"是",1,1,"否","是","否",1,1,0,0
"未知","本科",1,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",2,"是",1,1,"否","否","否",0,0,0,0
"女","未知",5,"否",1,1,"否","是","否",1,0,0,0
"未知","211",4,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",4,"是",1,1,"否","是","否",1,1,0,0
"男","本科",5,"是",1,1,"否","是","是",1,1,1,1
"未知","未知",4,"否",1,1,"否","是","否",1,0,0,1
"男","未知",2,"否",1,1,"否","是","否",1,0,0,0
"女","本科",6,"是",1,1,"否","是","否",1,0,1,1
"女","本科",4,"是",1,1,"否","是","否",1,0,1,1
